2025-03-25 15:42:19 - Proceso iniciado, ejecutándose cada 60 segundos
2025-03-25 15:45:47,022 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 15:45:51,401 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 15:45:52,739 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 15:46:07,697 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 15:46:07,905 - INFO - Proceso finalizado.
2025-03-25 15:46:11,717 - INFO - Proceso iniciado.
2025-03-25 15:46:11,718 - INFO - Error en la validación: module 'validacionFE' has no attribute 'ejecutar_proceso'
2025-03-25 15:46:15,764 - INFO - Proceso detenido.
2025-03-25 15:48:54,678 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 15:48:59,822 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 15:49:01,148 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 15:49:16,945 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 15:49:17,164 - INFO - Proceso finalizado.
2025-03-25 15:56:21,353 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 15:56:26,235 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 15:56:27,516 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 15:56:41,884 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 15:56:42,091 - INFO - Proceso finalizado.
2025-03-25 16:07:13,747 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 16:08:47,132 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 16:08:51,464 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 16:10:58,612 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 16:12:11,406 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 16:12:16,395 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 16:12:17,713 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 16:12:34,822 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 16:12:35,039 - INFO - Proceso finalizado.
2025-03-25 16:19:54,299 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 16:19:59,783 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 16:20:01,079 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 16:20:17,094 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 16:20:17,307 - INFO - Proceso finalizado.
2025-03-25 16:23:32,001 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 16:23:35,862 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 16:23:37,193 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 16:23:48,135 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 16:23:48,350 - INFO - Proceso finalizado.
2025-03-25 16:25:34,064 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 16:25:39,436 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 16:25:40,753 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 16:25:49,736 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 16:25:49,952 - INFO - Proceso finalizado.
2025-03-25 16:27:16,809 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 16:27:22,663 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 16:27:24,008 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 16:27:33,647 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 16:27:33,867 - INFO - Proceso finalizado.
2025-03-25 16:28:12,835 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 16:28:16,659 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 16:28:17,972 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 16:28:27,015 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 16:28:27,230 - INFO - Proceso finalizado.
2025-03-25 16:35:13,964 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 16:35:19,004 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 16:35:20,688 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 16:35:25,306 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 16:35:25,523 - INFO - Proceso finalizado.
2025-03-25 16:37:19,176 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 16:37:24,050 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 16:37:25,451 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 16:37:29,306 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 16:37:29,533 - INFO - Proceso finalizado.
2025-03-25 16:49:56,421 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 16:50:05,584 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 16:50:05,800 - INFO - Proceso finalizado.
2025-03-25 16:53:35,732 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 16:53:40,561 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 16:53:40,788 - INFO - Proceso finalizado.
2025-03-25 16:55:59,863 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 16:56:04,751 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 16:56:04,962 - INFO - Proceso finalizado.
2025-03-25 16:57:32,142 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 16:57:37,592 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 16:57:39,036 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 16:57:43,560 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 16:57:43,801 - INFO - Proceso finalizado.
2025-03-25 17:00:55,624 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 17:01:01,534 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 17:01:02,890 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 17:01:07,874 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 17:01:08,094 - INFO - Proceso finalizado.
2025-03-25 17:04:50,959 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 17:04:55,833 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 17:04:57,432 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 17:05:01,964 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 17:05:02,171 - INFO - Proceso finalizado.
2025-03-25 17:17:57,820 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 17:18:03,155 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 17:18:04,871 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 17:18:09,432 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 17:18:09,663 - INFO - Proceso finalizado.
2025-03-25 17:18:52,252 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 17:18:57,848 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 17:18:59,179 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 17:19:04,013 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 17:19:04,231 - INFO - Proceso finalizado.
2025-03-25 17:19:43,820 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 17:19:48,030 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 17:19:49,639 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 17:19:53,882 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 17:19:54,097 - INFO - Proceso finalizado.
2025-03-25 17:21:16,803 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 17:21:22,103 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 17:21:23,466 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 17:22:05,352 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 17:22:09,217 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 17:22:10,856 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 17:22:14,125 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 17:22:14,334 - INFO - Proceso finalizado.
2025-03-25 17:22:42,425 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 17:22:47,010 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
2025-03-25 17:22:48,388 - INFO - Conexión exitosa a la segunda base de datos.
2025-03-25 17:22:53,104 - INFO - Correo enviado correctamente: Errores en la base de datos Tabla de Control
2025-03-25 17:22:53,336 - INFO - Proceso finalizado.
2025-03-25 17:25:04,148 - INFO - Conexión exitosa a la primera base de datos.
2025-03-25 17:25:09,123 - INFO - Correo enviado correctamente: Errores en la base de datos SAP
